question	answer
 O que é o ITR?  	 ITR é o Imposto sobre a Propriedade Territorial Rural.   (Lei n º 9.393, de 19 de dezembro de 1996, art. 1 º; Decreto n º 4.382, de 19 de setembro de 2002 - Regulamento do Imposto sobre a Propriedade Territorial Rural (RITR/2002), art. 1 º; Instrução  Normativa (IN) SRF n º 256, de 11 de dezembro de 2002, art. 1º). 
 Qual é o fato gerador do ITR?  	 O fato gerador do ITR é a propriedade, o domínio útil ou a posse (inclusive por usufruto) de imóvel por  natureza, localizado fora da zona urbana do município, em 1 º de janeiro de cada ano.   (Constituição Federal , de 5 de outubro  de 1988 ( CF/1988 ), art. 184, § 5 º; Lei nº 5.172, de 25 de  outubro de 1966 - Código Tributário Nacional (CTN), art. 29; Lei n º 9.393, de 1996, art. 1 º; RITR/2002,  art. 2 º; IN SRF n º 256, de 2002, art. 1 º) 
 Qual é o período de apuração do ITR?  	 O período de apuração do ITR é anual.   (Lei n º 9.393, de 1996, art. 1 º; RITR/2002, art. 2 º; IN SRF n º 256, de 200 2, art. 1 º)  DESAPROPRIAÇÃO POR PESSOA JURÍDICA DE DIREITO PÚBLICO  
 O ITR incide sobre imóvel rural desapropriado por utilidade ou necessidade pública, ou por interesse  social , inclusive para fins de reforma agrária?  	 Sim. O ITR incide sobre a propriedade rural desapropriada por utilidade ou necessidade pública, ou por  interesse social, inclusive para fins de reforma agrária. Quando a desapropriação for promovida por pessoa  jurídica de direito público, o ITR incide sobre o imóvel rural:   I - até a data da perda da posse pela imissão prévia ou provisória do Poder Público na posse;   II - até a data da perda do direito de propriedade pela transferência ou pela incorporação do imóvel a o  patrimônio do Poder Público.   (Lei n º 9.393, de 1996, art. 1 º, § 1º; RITR/2002, art. 2 º, § 1º; IN SRF n º 256, de 2002, art. 1 º, § 1º)  DESAPROPRIAÇÃO POR PESSOA JURÍDICA DE DIREITO PRIVADO  
 O ITR incide sobre imóvel rural desapropriado por pessoa jurídica de direito privado delegatária ou  concessionária de serviço público?  	 Sim. Quando a desapropriação for promovida por pessoa jurídica de direito privado delegatária ou  concessionária de serviço público, continua incidindo o ITR sobre o imóvel rural expropriado. No ano em  que ocorrer a desapropriação, o imposto é de responsabilidade do expropriado, caso esta ocorra entre 1 º  de janeiro e a data de apresentação da DITR.      (Lei nº 9.393, de 1996, art. 1 º, § 1 º; RITR/2002, art. 2 º, § 2 º; IN SRF n º 256, de 2002, art. 1 º, § 2 º)  IMISSÃO PRÉVIA NA POSSE  
 O que se entende por imissão prévia na posse de i móvel rural declarado de interesse social, para fins  de reforma agrária?  	 Imissão prévia ou provisória na posse é o ato de tomar posse legal da coisa antes do pagamento da quantia  arbitrada ao desapropriado. Na desapropriação, mediante alegação de urgência pelo expropriante e o  depósito prévio da quantia que arbitrar, o juiz pode conceder a imissão na posse, em favor do expropriante,  antes do efetivo pagamento da indenização fixada.   (Decreto -Lei n º 3.365, de 21 de junho de 1941, art. 15; Lei Complementar (LC ) nº 76, de 6 de julho  de 1993, art. 6 º, com a redação dada pela LC n º 88, de 23 de dezembro de 1996, arts. 1 º e 3º) 
 O ITR incide sobre o imóvel rural compreendido em programa oficial de reforma agrária, caracterizado  como assentamento?  	 Com a titulação definitiva, quando ocorre a emissão do Título de Domínio (TD) ou do contrato de  Concessão de Direito Real de Uso (CDRU ), o ITR incide sobre o imóvel rural compreendido em programa   oficial de reforma agrária, caracterizado como assentamento, dependendo da titulação feita e da forma de  exploração do imóvel rural:   1º) titulação definitiva do imóvel rural feita individualmente, ou seja, cada assentado tem, individualmente,  um título de  domínio ou de concessão de direito real de uso.   Nesse caso, o imóvel rural será tributado normalmente, caso não se enquadre em nenhuma das demais  hipóteses de imunidade ou isenção.   2º) titulação definitiva  do imóvel rural feita em nome coletivo e a explor ação é feita por associação ou  cooperativa de produção.   Esse assentamento será isento do ITR se a fração ideal por família assentada não ultrapassar os limites  da pequena gleba e se nenhum dos assentados possuir, individual ou coletivamente, qualquer outro  imóvel  rural ou urbano.  Nesse caso existe condomínio, sendo es sa a única hipótese em que o condomínio é  isento.   3º) titulação definitiva do imóvel rural feita em nome coletivo e a exploração não é feita por associação ou  cooperativa de produção.   Nesse cas o, o imposto será apurado normalmente, pois não existe imunidade, nem isenção. Existe um  imóvel rural em condomínio, sendo tributado normalmente.   4º) titulação definitiva do imóvel rural feita em nome da associação ou cooperativa.   Nesse caso, o imóvel é pr opriedade de uma pessoa jurídica como outra qualquer; não existe imunidade,  nem isenção.   Atenção:   O ITR não incide sobre imóvel rural compreendido em programa oficial de reforma agrária,  caracterizado como assentamento, enquanto for explorado pelos assentados por meio de Contrato  de Concessão de Uso (CCU). Nessa situação, o imóvel rural encontra -se sobre a propriedade ou  posse do Incra ou da União e, assim, é imune para fins da tributação do ITR.   (Instrução Normativa Incra n º 99, de 30 de dezembro de  2019, art. 4 º)    HIPÓTESES  
 Quais as hipóteses de imunidade do ITR?  	" São imunes do ITR, desde que atendidos os requisitos constitucionais e legais:   I - a pequena gleba rural;  e  II - os imóveis rurais :  a) da União, dos Estados, do Distrito Federal e dos Municípios;   b) de autarquias e fundações instituídas e mantidas pelo Poder Público;   c) de instituições de educação e de assistência social, sem fins lucrativos ;  d) dos templos de qualquer culto;   e) dos  partidos políticos, inclusive suas fundações, atendidos os requisitos da lei; e   f) das entidades sindicais dos trabalhadores , atendidos os requisitos da lei.   (CF/1988 , art. 150 , inciso V I, alíneas “ a” e “c”, e §§ 2 º a 4º, e art. 153, § 4 º, com a redação dada pela  Emenda Constitucional n º 42, de 19 de dezembro de 2003, art. 1 º; Lei n º 9.393, de 1996, art. 2 º;  RITR/2002, art. 3 º; IN SRF n º 256, de 2002, art. 2 º)  Atenção:   1. A imunidade, nas hipóteses previstas nas letras ""a"" e ""b"" do item II, não se aplica aos imóveis  relacionados com exploração de atividades econômicas regidas pelas normas aplicáveis a  empreendimentos privados, ou em que haja contraprestação ou pagamento de preços ou tarifas pelo  usuário, nem exonera o promitente comprador  da obrigação de pagar imposto relativamente ao bem  imóvel.   (CF/1988 , art.150, § 3 º)  2. A imunidade, na hipótese prevista na letra “c” do item II, compreende somente os imóveis relacionados  com as finalidades essenciais das instituições de educação e de as sistência social sem fins lucrativos, e  subordina -se à observância, por essas instituições, dos seguintes requisitos previstos na Lei n º 9.532,  de 10 de dezembro de 1997, art. 12, § 2 º, alíneas “a”  a “h”, a primeira  com a redação dada pela Lei n º  13.204, d e 2015,  art. 4 º:  (CF/1988 , art.150, § 4 º; e CTN, art. 9 º, inciso IV, alínea “c”, e art. 14, caput  e § 2 º; RITR/2002 , art.  3º, § 2º)  a) não remunerar, por qualquer forma, seus dirigentes pelos serviços prestados, exceto no caso de  associações, fundações ou organizações da sociedade civil, sem fins lucrativos, cujos dirigentes poderão  ser remunerados, desde que atuem efetivamente na gestão executiva e desde que cumpridos os  requisitos previstos nos arts. 3 º e 16 da Lei n º 9.790, de 23 de março de  1999, respeitados como limites  máximos os valores praticados pelo mercado na região correspondente à sua área de atuação, devendo  seu valor ser fixado pelo órgão de deliberação superior da entidade, registrado em ata, com comunicação  ao Ministério Público , no caso de fundação ;  b) aplicar integralmente seus recursos na manutenção e desenvolvimento dos seus objetivos sociais;   c) manter escrituração completa de suas receitas e despesas em livros revestidos das formalidades que  assegurem a respectiva exatidão;      d) conservar em boa ordem, pelo prazo de cinco anos, contado da data da emissão, os documentos que  comprovem a origem de suas receitas e a efetivação de suas despesas, bem assim a realização de  quaisquer outros atos ou operações que venham a modificar sua  situação patrimonial;   e) apresentar, anualmente, Declaração de Rendimentos, em conformidade com o disposto em ato da  Secretaria Especial da Receita Federal  do Brasil ;  f) recolher os tributos retidos sobre os rendimentos por elas pagos ou creditados e a co ntribuição para a  seguridade social relativa aos empregados, bem como cumprir as obrigações acessórias daí  decorrentes;   g) assegurar a destinação de seu patrimônio a outra instituição que atenda às condições para gozo da  imunidade, no caso de incorporação,  fusão, cisão ou de encerramento de suas atividades, ou a órgão  público;   h) outros requisitos, estabelecidos em lei específica, relacionados com o funcionamento das entidades a  que se refere .  3. A imunidade  relativa aos templos de qualquer culto  aplica -se somente aos imóveis relacionados com as  suas finalidades essenciais.   (CF/1988 , art.150, § 4 º; e CTN, art. 9 º, inciso IV, alínea “c”, e art. 14, caput  e § 2 º)  4. A imunidade  relativ a aos partidos políticos e  às entidades sindicais dos trabalhadores  compreende  somente os imóveis relacionados com as  suas  finalidades essenciais, e subordina -se à observância, por  estes, dos seguintes requisitos:   (CF/1988 , art.150, § 4 º; e CTN, art. 9 º, inciso IV, alínea “c”, e art. 14, caput  e § 2 º)  a) não distribuírem qualquer parcela de seu patrimônio ou de suas rendas, a qualquer título;   b) aplicarem integralmente, no País, os seus recursos na manutenção dos seus objetivos institucionais;  e  c) mante rem escrituração de suas receitas e despesas em livros revestidos de formalidades capazes de  assegurar sua exatidão.  "
 As terras tradicionalmente ocupadas p elos índios são imunes do ITR?  	 Sim. As terras tradicionalmente ocupadas pelos índios são bens da União, porém os índios têm a posse  permanente, a título de usufruto especial. Essas terras são inalienáveis e indisponíveis, e os direitos sobre  elas imprescritíveis. Por conseguinte, são im unes do ITR as áreas tradicionalmente ocupadas pelos índios.   Nesse caso, esclarece a Procuradoria -Geral da Fazenda Nacional (PGFN)  que, em razão dos princípios  da eficiência e da boa administração, cabe à Secretaria do Patrimônio da União (SPU) municiar a   Secretaria Especial da Receita Federal do Brasil (RFB) com dados cadastrais que espelhem a situação  fundiária des sas áreas, para fins de atualização e manutenção do Cadastro de Imóveis Rurais (Cafir).   Atenção:   Sobre o Cafir, consulte a IN RFB n º 2.008, de 18 de fevereiro de 2021 .    (CF/1988, arts. 20 , inciso X I, e 231, §§ 2 º e 4º; Parecer PGFN/CAT n º 2.475/2008 ; Parecer  PGFN/CAT n º 996/2011 ; PGFN/CAT n º 394/2012 )     PEQUENA GLEBA RURAL   DEFINIÇÃO  
 O que é pequena gleba rural?  	 Pequena gleba rural é o imóvel rural com área igual ou inferior a:   I - 100ha, se localizado em município compreendido na Amazônia Ocidental ou no Pantanal mato - grossense e sul -mato -grossense;   II - 50ha, se localizado em município  compreendido no Polígono das Secas ou na Amazônia Oriental;   III - 30ha, se localizado em qualquer outro município.   Consulte as perguntas 223, 224, 225 e 226    (Lei n º 9.393, de 1996, art. 2 º, parágrafo único; RITR/2002, art. 3 º, § 1 º; IN SRF n º 256, de 2002, art.  2º, § 1 º)  REQUISITOS PARA A IMUNIDADE  
 Quais as condições exigidas para reconhecimento da imunidade à pequena gleba rural?  	 A pequena gleba rural é imune do ITR, desde que a explore o proprietário, titular do domínio útil ou  possuidor a qualquer título que não possua qualquer outro imóvel, ru ral ou urbano, vedado arrendamento,  comodato ou parceria.   (CF/1988, art. 153, § 4 º, com a redação dada pela Emenda Constitucional n º 42, de 2003, art. 1 º; Lei  nº 9.393, de 1996, art. 2 º; RITR/2002, art. 3 º, inciso I ; IN SRF n º 256, de 2002, art. 2 º, incis o I)  ENFITEUTA OU FOREIRO  
 A pequena gleba rural de enfiteuta ou foreiro goza de imunidade?  	 Sim. O enfiteuta ou foreiro é o titular do domínio útil, enquadrando -se, nes sa condição, na definição de  contribuinte do ITR. Portanto, faz jus à imunidade, desde que satisfeitas as condições previstas na  Constituição.   Consulte a pergunta 011    (CF/1988, art. 153, § 4 º, com a redação dada pela Emenda Constitucional n º 42, de 2003, art. 1 º; Lei  nº 9.393, de 1996, arts. 2 º e 4º; RITR/2002, art. 3 º, inciso I ; IN SRF n º 256, de 2002, art. 2 º, inciso I )  USUFRUTUÁRIO  
 A pequena gleba rural de usufrutuário goza de imunidade?  	 Sim. O usufrutuário é considerado possuidor a qualquer título (tem a posse a título de usufruto),  enquadrando -se, nes sa condição, na definição de contribuinte do ITR. Portanto, faz jus à imunidade , desde  que satisfeitas as condições previstas na Constituição.      Consulte a pergunta 011    (CF/1988, art. 153, § 4 º, com a redação dada pela Emenda Constitucional n º 42, de 2003, art. 1 º; Lei  nº 9.393, de 1996, arts. 2 º e 4º; RITR/200 2, art. 3 º, inciso I ; IN SRF n º 256, de 2002, art. 2 º, inciso I )  ARRENDAMENTO, COMODATO OU PARCERIA  
